## reporting unit PofZ values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999  NumValuesInAverage= 998
IndivName	ValueType	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANVI07_11	Posterior.Mean	0.00056851	0.00000000	0.00000000	0.69571934	0.30371215
KANVI07_11	SD	0.00009214	0.00000000	0.00000000	0.04582627	0.04578897
KANVI07_12	Posterior.Mean	0.08853820	0.00000000	0.00000000	0.86266838	0.04879342
KANVI07_12	SD	0.01467492	0.00000000	0.00000000	0.01817610	0.00675485
KANVI07_13	Posterior.Mean	0.00081161	0.00000000	0.00000000	0.99884804	0.00034035
KANVI07_13	SD	0.00018217	0.00000000	0.00000000	0.00023353	0.00006953
KANVI07_14	Posterior.Mean	0.00000696	0.00000000	0.00000000	0.40974526	0.59024778
KANVI07_14	SD	0.00000099	0.00000000	0.00000000	0.04757992	0.04757977
KANVI07_15	Posterior.Mean	0.00000920	0.00000000	0.00000000	0.97321478	0.02677602
KANVI07_15	SD	0.00000183	0.00000000	0.00000000	0.00377323	0.00377223
KANVI07_16	Posterior.Mean	0.00020537	0.00000000	0.00000000	0.98016847	0.01962616
KANVI07_16	SD	0.00004360	0.00000000	0.00000000	0.00375409	0.00372275
KANVI07_17	Posterior.Mean	0.00478006	0.00000000	0.00000000	0.01024335	0.98497659
KANVI07_17	SD	0.00091656	0.00000000	0.00000000	0.00202167	0.00249876
KANVI07_18	Posterior.Mean	0.00019578	0.00000000	0.00000106	0.85294529	0.14685787
KANVI07_18	SD	0.00003790	0.00000000	0.00000018	0.02383986	0.02381821
KANVI07_19	Posterior.Mean	0.00000015	0.00000000	0.00000000	0.99999093	0.00000892
KANVI07_19	SD	0.00000003	0.00000000	0.00000000	0.00000168	0.00000165
KANVI07_20	Posterior.Mean	0.00004180	0.00000000	0.00000000	0.99697576	0.00298245
KANVI07_20	SD	0.00000775	0.00000000	0.00000000	0.00048686	0.00048118
KANVI07_21	Posterior.Mean	0.00001279	0.00000000	0.00000000	0.99365972	0.00632749
KANVI07_21	SD	0.00000256	0.00000000	0.00000000	0.00115944	0.00115745
KANVI07_22	Posterior.Mean	0.00000982	0.00000000	0.00000000	0.99086783	0.00912235
