## trace file of reporting unit ZSum values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
18780	251	74	271	231	1448
18800	261	74	270	228	1442
18820	253	74	272	236	1440
18840	238	74	271	246	1446
18860	265	74	271	227	1438
18880	256	74	272	234	1439
18900	255	74	270	254	1422
18920	262	74	271	245	1423
18940	252	74	271	234	1444
18960	254	74	272	229	1446
18980	246	74	270	242	1443
19000	251	74	271	231	1448
19020	248	74	271	229	1453
19040	254	74	272	238	1437
19060	264	74	271	231	1435
19080	246	74	271	251	1433
19100	259	74	271	236	1435
19120	250	74	270	243	1438
19140	254	74	271	246	1430
19160	255	74	271	236	1439
19180	252	74	270	250	1429
19200	256	74	271	240	1434
19220	249	74	270	239	1443
19240	255	74	271	251	1424
19260	249	74	271	236	1445
19280	247	74	271	238	1445
19300	251	74	271	231	1448
19320	253	74	271	224	1453
19340	253	74	272	229	1447
19360	254	74	271	242	1434
19380	256	73	271	238	1437
19400	246	74	270	245	1440
19420	246	74	272	231	1452
