## trace file of population Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
840	0.04908162	0.02065491	0.02647104	0.03062662	0.02958479	0.03013480	0.04584679	0.03197426	0.03875242	0.02563779	0.02374628	0.03542940	0.03825678	0.02867475	0.03961404	0.03952712	0.04691939	0.02419527	0.05306917	0.03468207	0.03779729	0.02823642	0.02769093	0.03832135	0.04702188	0.04152808	0.05373488	0.03278986
860	0.04260266	0.02248952	0.02851005	0.03284879	0.02787455	0.02064110	0.04069927	0.03889990	0.03990923	0.02556677	0.02958377	0.04115745	0.02521441	0.04707931	0.04412102	0.03631791	0.03289835	0.02602535	0.04159629	0.03764666	0.04865745	0.01869341	0.02803883	0.05297059	0.03879091	0.04588710	0.04488548	0.04039386
880	0.05486115	0.02583084	0.02956651	0.02862900	0.03150371	0.03655629	0.03344908	0.03718287	0.04749250	0.02047823	0.04047573	0.04734745	0.02338984	0.03226298	0.03157719	0.02623996	0.04882404	0.02085563	0.04531774	0.03818641	0.04169096	0.03053177	0.02336426	0.04173243	0.04137225	0.03829497	0.04506777	0.03791844
900	0.05720877	0.02102647	0.02025155	0.03132424	0.04042024	0.03152684	0.02972507	0.04554512	0.03242152	0.02092392	0.04752333	0.04311575	0.02500711	0.03183103	0.04346109	0.05083762	0.04285481	0.02113330	0.04369088	0.04785842	0.04352712	0.02563539	0.01866313	0.04121484	0.04029889	0.03214419	0.03745163	0.03337773
920	0.04024198	0.01563271	0.01698763	0.03067013	0.03526105	0.03535228	0.04536391	0.04102249	0.04153601	0.02392827	0.04218773	0.03542767	0.02723062	0.04231089	0.04559874	0.03846402	0.04454489	0.02385982	0.04071224	0.05110822	0.04571521	0.02733012	0.01831493	0.04044558	0.03674616	0.04027641	0.03603626	0.03769406
940	0.03892309	0.02539148	0.02690641	0.02175557	0.02977064	0.03198856	0.03587949	0.04507800	0.03752056	0.02711655	0.03647828	0.04148848	0.01706429	0.05045417	0.03169808	0.03978314	0.03499888	0.02323337	0.05048873	0.03766003	0.04646415	0.02373170	0.02926458	0.04491097	0.03402684	0.04652427	0.05901327	0.03238639
960	0.04396910	0.02181252	0.03541326	0.02974885	0.03038021	0.03357455	0.04188302	0.03527284	0.04453158	0.02173420	0.03068078	0.03726003	0.02245135	0.04820588	0.04049889	0.03345129	0.04237339	0.02184955	0.05283581	0.04042649	0.03860775	0.02559599	0.02668938	0.03889330	0.03820466	0.04057259	0.04433684	0.03874588
980	0.04928192	0.01918180	0.02215556	0.03492994	0.02444638	0.03541911	0.04321985	0.04177093	0.03146563	0.02736547	0.02836726	0.03995703	0.01574525	0.04491152	0.03980723	0.03085534	0.05727096	0.01644079	0.05494573	0.04159726	0.03999338	0.02460087	0.02285800	0.04329467	0.02859381	0.04063626	0.06316209	0.03772596
1000	0.04895142	0.02369468	0.02359983	0.02925087	0.03449876	0.02867340	0.04519574	0.03746348	0.03427222	0.02338568	0.04349687	0.03998022	0.01552777	0.04837809	0.03035414	0.04795307	0.02473900	0.01645886	0.04254173	0.03404611	0.05981509	0.02503977	0.02014568	0.03971866	0.04842047	0.05162937	0.05033109	0.03243794
1020	0.04472864	0.02482225	0.01672921	0.02872743	0.02544890	0.03935994	0.04005404	0.03974485	0.03890047	0.02430693	0.04621469	0.04037955	0.02777243	0.03780149	0.04026746	0.03154418	0.03958766	0.02230345	0.04866996	0.04427642	0.04690725	0.02837277	0.02497066	0.03451220	0.04110670	0.03112938	0.04769752	0.04366358
