## trace file of reporting unit Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
4780	0.11613221	0.03334365	0.12302675	0.10615140	0.62134599
4800	0.11711914	0.03174602	0.12869953	0.10914316	0.61329215
4820	0.11180833	0.03149634	0.12581929	0.09621550	0.63466053
4840	0.10826659	0.02668020	0.11080594	0.10668484	0.64756243
4860	0.11804787	0.03991633	0.11829146	0.10968766	0.61405667
4880	0.12129322	0.02974763	0.11039985	0.10890586	0.62965345
4900	0.10310321	0.03686830	0.13416615	0.09416813	0.63169421
4920	0.10254113	0.03077789	0.11569391	0.09772027	0.65326679
4940	0.11317884	0.02837502	0.11636743	0.10509533	0.63698338
4960	0.11742424	0.03002120	0.10706264	0.11889103	0.62660089
4980	0.12143481	0.03072364	0.12116320	0.10021534	0.62646300
5000	0.10336053	0.03920620	0.11987588	0.09963291	0.63792448
5020	0.11376718	0.03437957	0.12406200	0.08930296	0.63848829
5040	0.12380746	0.02887397	0.11828881	0.09752725	0.63150251
5060	0.11544911	0.03672875	0.11782892	0.10343202	0.62656120
5080	0.11333623	0.03218619	0.10874579	0.09560386	0.65012793
5100	0.10689418	0.03537960	0.13173859	0.11071578	0.61527185
5120	0.12567979	0.03703888	0.11709342	0.10471039	0.61547753
5140	0.10085154	0.03210357	0.12818561	0.10240413	0.63645515
5160	0.11847339	0.03513097	0.11865319	0.10725051	0.62049193
5180	0.09601717	0.03875336	0.10982439	0.10549259	0.64991249
5200	0.11916576	0.03272164	0.11805401	0.10357277	0.62648583
5220	0.11348717	0.03006714	0.10317161	0.10701811	0.64625596
5240	0.11844165	0.03012024	0.11738226	0.10339297	0.63066288
5260	0.09664754	0.03044348	0.10973686	0.10121164	0.66196048
5280	0.11012568	0.02812510	0.13096314	0.10524969	0.62553638
5300	0.10163895	0.03247612	0.12473395	0.09843045	0.64272052
5320	0.11057878	0.03181174	0.12367328	0.10953110	0.62440510
5340	0.10528116	0.02759092	0.12040906	0.09481126	0.65190761
5360	0.10661261	0.03280262	0.11723331	0.09919206	0.64415941
5380	0.10805945	0.03244688	0.12095010	0.10546175	0.63308181
5400	0.10913133	0.03937468	0.12039736	0.10328371	0.62781292
5420	0.10719280	0.03933206	0.12777308	0.09612992	0.62957215
5440	0.11464441	0.03751591	0.12294442	0.10583601	0.61905925
5460	0.10578553	0.02730988	0.12632639	0.10366401	0.63691419
5480	0.10521590	0.02764054	0.13256504	0.09557856	0.63899996
5500	0.10770333	0.03193293	0.12014279	0.09957050	0.64065045
5520	0.10247089	0.03264358	0.11289249	0.10827294	0.64372010
5540	0.11682377	0.03075079	0.11678102	0.10754583	0.62809859
5560	0.11666141	0.02865792	0.11940925	0.10216350	0.63310792
5580	0.11068746	0.03113722	0.11700262	0.12191479	0.61925791
5600	0.11257399	0.03497803	0.11196822	0.10801901	0.63246075
5620	0.11010734	0.03323153	0.11026795	0.10349477	0.64289841
5640	0.10678270	0.02932090	0.12369476	0.10336776	0.63683388
5660	0.11915242	0.03363677	0.11390349	0.10910804	0.62419929
5680	0.10366223	0.02951367	0.11408777	0.11522385	0.63751248
5700	0.11501766	0.03135061	0.10800196	0.08885383	0.65677595
5720	0.11784350	0.02822273	0.11198417	0.09085985	0.65108975
5740	0.11917516	0.02912139	0.11818364	0.09521308	0.63830672
5760	0.10660227	0.04063213	0.12582362	0.09965975	0.62728223
5780	0.10166456	0.03855784	0.11402639	0.11027004	0.63548117
5800	0.11166527	0.03320372	0.12283920	0.10832715	0.62396466
5820	0.11468582	0.03090828	0.11631699	0.08873928	0.64934963
5840	0.11358044	0.03408210	0.11604692	0.10308439	0.63320615
5860	0.10884545	0.03399661	0.12598628	0.09638184	0.63478981
5880	0.11567374	0.02667860	0.13050727	0.09709568	0.63004471
5900	0.10745710	0.03382895	0.11979601	0.10603647	0.63288147
5920	0.10975637	0.03029636	0.12429905	0.10425470	0.63139351
5940	0.11869089	0.02649036	0.11762022	0.11150316	0.62569537
5960	0.11527412	0.03602740	0.12036394	0.10690815	0.62142639
5980	0.11110788	0.03107738	0.10208870	0.10604814	0.64967790
6000	0.10487941	0.02882610	0.11366455	0.11353377	0.63909617
6020	0.10934759	0.03279732	0.12068424	0.09612288	0.64104796
6040	0.10975066	0.03204004	0.12121522	0.09465591	0.64233817
6060	0.09992795	0.02696218	0.12844277	0.10619797	0.63846912
6080	0.10977124	0.03460687	0.13386182	0.10658653	0.61517355
6100	0.11899467	0.02735331	0.12615622	0.10707382	0.62042198
6120	0.10406232	0.03105218	0.11851940	0.11214834	0.63421776
6140	0.11663494	0.03212292	0.11239834	0.10216842	0.63667538
6160	0.11231461	0.03309733	0.12753286	0.10082244	0.62623277
6180	0.10311658	0.03431012	0.12005686	0.10626487	0.63625157
6200	0.10457065	0.03516554	0.11253330	0.11015563	0.63757488
6220	0.11000391	0.03380199	0.10588295	0.11996021	0.63035094
6240	0.10439467	0.03314079	0.12646246	0.10982330	0.62617878
6260	0.10400695	0.03086618	0.11983726	0.08998452	0.65530509
6280	0.10178404	0.03254906	0.11482767	0.11443263	0.63640660
6300	0.11153987	0.03365421	0.13021000	0.09430657	0.63028934
6320	0.10746077	0.03258776	0.11718212	0.11562972	0.62713963
6340	0.09552179	0.02935760	0.12043581	0.10822454	0.64646025
6360	0.10090720	0.03075909	0.11735350	0.09836047	0.65261974
6380	0.09732566	0.02987910	0.12120495	0.08599334	0.66559694
6400	0.10876025	0.03925405	0.12195470	0.12050655	0.60952445
6420	0.10231562	0.03075662	0.11843247	0.10141918	0.64707611
6440	0.12223481	0.03395566	0.12081467	0.08128402	0.64171084
6460	0.10135008	0.02902856	0.13205551	0.10993855	0.62762730
6480	0.11273710	0.03932567	0.11741561	0.11633704	0.61418458
6500	0.10278755	0.03300397	0.11340783	0.10255385	0.64824680
6520	0.11227331	0.03826568	0.13146771	0.11207362	0.60591968
6540	0.10630968	0.03212752	0.12016821	0.10648249	0.63491211
6560	0.09467469	0.03493282	0.12639516	0.11123881	0.63275852
6580	0.10356444	0.02964799	0.11614730	0.10639927	0.64424099
6600	0.10337424	0.03373154	0.11498058	0.11677908	0.63113456
